row_type,event_id,event_type,event_label_ko,count,frame,time_sec,team_id,team_name,shot_made_count,shot_missed_count,pass_count,rebound_count,steal_or_block_count,shot_success_rate_pct,possession_frame_count,possession_time_sec,possession_pct,player_track_id,secondary_track_id,confidence,details
event,E00013,shot_made,슛성공,,1476,49.2,,unknown,,,,,,,,,,2102,,0.624,ball_crossed_rim_zone
event,E00014,pass,패스,,1519,50.633,1,team_1,,,,,,,,,,1938,1535,0.65,stable_possession_changed_same_team;gap_frames=1;left_frames=10;right_frames=28
event,E00015,steal_or_block,스틸/블락,,1566,52.2,2,team_2,,,,,,,,,,1980,1938,0.64,stable_possession_changed_opponent_team;gap_frames=20;left_frames=28;right_frames=14
event,E00016,steal_or_block,스틸/블락,,1619,53.967,2,team_2,,,,,,,,,,1980,2251,0.565,stable_possession_changed_opponent_team;gap_frames=1;left_frames=9;right_frames=7
event,E00017,shot_made,슛성공,,1791,59.7,1,team_1,,,,,,,,,,2468,,0.7,ball_crossed_rim_zone
event,E00018,steal_or_block,스틸/블락,,2285,76.167,2,team_2,,,,,,,,,,2944,2992,0.595,stable_possession_changed_opponent_team;gap_frames=56;left_frames=10;right_frames=9
event,E00019,steal_or_block,스틸/블락,,2329,77.633,1,team_1,,,,,,,,,,2946,3077,0.625,stable_possession_changed_opponent_team;gap_frames=1;left_frames=13;right_frames=11
event,E00020,shot_made,슛성공,,2457,81.9,,unknown,,,,,,,,,,3395,,0.7,ball_crossed_rim_zone
event,E00021,shot_made,슛성공,,2697,89.9,2,team_2,,,,,,,,,,3654,,0.7,ball_crossed_rim_zone
event,E00022,shot_made,슛성공,,2787,92.9,2,team_2,,,,,,,,,,3723,,0.7,ball_crossed_rim_zone
event,E00023,shot_missed,슛실패,,2837,94.567,1,team_1,,,,,,,,,,3787,,0.375,near_rim_no_make_detected
event,E00024,rebound,리바운드,,2866,95.533,1,team_1,,,,,,,,,,3922,,0.5,offensive_rebound_after_missed_shot_frame=2837
event,E00025,pass,패스,,3001,100.033,1,team_1,,,,,,,,,,3802,3684,0.605,stable_possession_changed_same_team;gap_frames=1;left_frames=7;right_frames=7
